1,179.1 ,179.99 ,178 ,178.87 ,80349
2,179.8 ,180.5 ,178.5 ,179.43 ,849099
3,181.47 ,181.47 ,178.1 ,178.89 ,73449
4,179.88 ,179.88 ,176.9 ,177.06 ,240319
5,177.45 ,183.4 ,177.06 ,179.99 ,711309
6,178 ,181.99 ,177.5 ,179.69 ,173419
7,179 ,187.9 ,179 ,184.38 ,1148009
8,177 ,187.7 ,171.16 ,185.82 ,432049
9,187.3 ,192.8 ,186.52 ,188.17 ,230889
10,187.12 ,192.7 ,186.52 ,187.19 ,372179
11,188.89 ,191.1 ,186 ,186.66 ,125789
12,189.47 ,189.47 ,182.5 ,184.48 ,199219
13,183.81 ,186.25 ,182.1 ,182.69 ,120359
14,182.69 ,183.79 ,179.61 ,181.21 ,108869
15,179 ,181 ,174.5 ,176.5 ,334689
16,177.5 ,181.5 ,176.7 ,177.64 ,263829
17,176.5 ,181.9 ,174.94 ,176.46 ,372839
18,178 ,182.39 ,177.1 ,180.28 ,373289
19,179.8 ,186.5 ,177.5 ,185.22 ,275389
20,187 ,193.5 ,183 ,191.75 ,367219
21,192.5 ,193.06 ,187 ,187.56 ,302689
22,189.39 ,192.5 ,187.99 ,191.46 ,419239
23,191.4 ,192.55 ,188.5 ,191.82 ,148689
24,186.5 ,199.5 ,186.5 ,193.62 ,1872489
25,196 ,198.5 ,194.5 ,194.78 ,407369
26,194.41 ,198.3 ,194.41 ,196.27 ,508879
27,198 ,202.5 ,194.5 ,197.96 ,514109
28,199.37 ,199.9 ,193 ,194.47 ,371619
29,198.97 ,198.97 ,190.5 ,193.45 ,385569
30,203.1 ,203.1 ,189.26 ,191.2 ,239099
31,192 ,192.7 ,187.8 ,188.97 ,414589
32,189.97 ,189.97 ,185.1 ,185.78 ,884209
33,185 ,186.8 ,184.01 ,185.91 ,72789
34,187.5 ,187.98 ,182 ,182.55 ,119949
35,185.1 ,185.1 ,176 ,178.52 ,621409
36,182.5 ,182.5 ,174.25 ,176.15 ,722659
37,175.1 ,177.5 ,171.22 ,176.53 ,1812349
38,174.6 ,182.5 ,174.2 ,181 ,243719
39,175.6 ,188.31 ,175.6 ,187 ,287839
40,188 ,200.04 ,186.5 ,198.12 ,1213079
